,Unnamed: 0.1,Unnamed: 0,title,artist,rank,date,lyrics_x,lyrics_y,final_lyrics,lyrics-scraped
11832,11832,50092,Here I Go (Fallin' In Love Again),Frannie Golde,76,1979-07-14,,,,
11833,11833,50079,Sweets For My Sweet,Tony Orlando,75,1979-07-14,,,,
11834,11834,50078,Oh Well,Rockets,74,1979-07-14,,,,
11835,11835,50076,Girl Of My Dreams,Bram Tchaikovsky,72,1979-07-14,,,,"Judy was an American girl
She came in the morning
With the US mail
She didn't say nothing
But she looked pretty good to me

Golden hair that shines so bright
Loving eyes that see not sight
She could keep the secrets
That we share in my world of dreams

And a man needs something
When he ain't got nothing to hold onto
And there ain't no telling
When I feel like yelling, ""I love you""

Ooooo
It gets lonely in the night
When there ain't no one around
Ooooo
She makes me feel alright
Get my feet right off the ground

She's the girl of my dreams!
She's the girl of my dreams!
Judy does what I ask her to
She makes me happy when I feel blue
She stares with the eyes of a child
And gets me to my knees

Her heart, it never beats in time
'Cept when it's beating close to mine
I keep her from my friends
Locked away with my fantasies

And a man needs something
When he ain't got nothing to hang onto
And there ain't no telling
When I feel like yelling, ""I love you""

Ooooo
It gets lonely in the night
When there ain't no one around
Ooooo
She makes me feel alright
Get my feet right off the ground

She's the girl of my dreams!
She's the girl of my dreams!
She's the girl of my dreams!
She's the girl of my dreams!
She's the girl of my dreams!
She's the girl of my dreams!"
11837,11837,50111,Why Leave Us Alone,Five Special,84,1979-07-28,,,,
11839,11839,50105,Rock And Roll Dancin',Beckmeier Brothers,88,1979-07-28,,,,
11842,11842,50117,This Is Love,Oak,77,1979-07-28,,,,
11848,11848,50127,Love Me Tonight,Blackjack,75,1979-07-28,,,,
11849,11849,50124,Driver's Seat,Sniff 'n' the Tears,72,1979-07-28,,,,"Doing all right
A little jiving
on a Saturday night
And come what may
Gonna dance the day away

Jenny was sweet
She always smiled for the people she'd meet
On trouble and strife
She had another way of looking at life


The news is blue (the news is blue)
It has its own way to get to you (ooh)
What can I do? (what can I do?)
I'll never remember my time with you


Pick up your feet
Got to move to the trick of the beat
There is no elite

Just take your place in the driver's seat


Driver's seat, ooh
Driver's seat, yeah

We're doing all right (ooh)
A little jiving on a Saturday night (yeah)
And come what may (ooh)
Gonna dance the day away (yeah)
Driver's seat, ooh
Driver's seat, yeah

Jenny was sweet (ooh)
There is no elite (yeah)
Pick up your feet (ooh)
Pick up, pick up (yeah)
Pick up your feet (ooh)
Gonna dance the day away (yeah)

Driver's seat, ooh
Driver's seat, yeah
Driver's seat, ooh
Driver's seat, yeah

Yeah
Driver's seat"
11857,11857,50205,Then You Can Tell Me Goodbye,Toby Beau,88,1979-08-11,,,,
11858,11858,50213,H.a.p.p.y. Radio,Edwin Starr,80,1979-08-11,,,,"Happy radio

An automatic alarm turns my radio on
Before my feet can hit the floor
The music's got me ready to go
And all through the whole day
I know my favorite records they'll play
It helps me chase all my blues away
When I can hear that DJ say

That this is Station H.A.P.P.Y
We plan to help your day go by
I said it's a musical, natural high
On Station H.A.P.P.Y. (H.A.P.P.Y.)
H.A.P.P.Y
We plan to help your day go by
I said it's a musical, natural high
On Station H.A.P.P.Y. (H.A.P.P.Y.)
Whoo!
You should hear it every day, yeah

While riding home in my car
My happy radio is never too far
I just reach out my hand, turn the dial
And I know it will make me smile
'Cause this is Station H.A.P.P.Y
We plan to help your day go by
I said it's a musical, natural high
On Station H.A.P.P.Y. (H.A.P.P.Y.)
H.A.P.P.Y
We plan, we plan to help your day go by, by, by
(Musical, natural high) Yes it is
On Station H.A.P.P.Y. (H.A.P.P.Y.)
Whoo!

Don't you know that it's a musical, natural
On Station H.A.P.P.Y. (H.A.P.P.Y)
H.A.P.P.Y
We plan to help your day go by, by, by
Said it's a musical, natural. (Musical, natural high)
H.A.P.P.Y. (H.A.P.P.Y.)

Just by mistake one day, I turned on my dial
From my radio came this incredible sound
The music they were playing right next to me
I started clapping my hands and stomping my feet

'Cause they were H.A.P.P.Y
We plan to help your day go by, by, by
It's a musical, natural (Musical, natural high)
On Station H.A.P.P.Y. (H.A.P.P.Y.)
H.A.P.P.Y
Hey, hey, hey
(We plan to help your day go by.) Whoo, ooh
(Musical, natural high) Let everybody sing
I say it's H.A.P.P.Y. (H.A.P.P.Y.)
(H.A.P.P.Y.) Whoo, wee
Don't you know, yeah
(We plan to help your day go by.) Whoo, wee
Don't you know that it's a musical, natural high, whoo
On Station H.A.P.P.Y. (H.A.P.P.Y.)
H.A.P.P.Y
We plan to help your day go by
'Cause it's a musical, natural...(Musical, natural high)  "
11859,11859,50209,Rocky II Disco,Maynard Ferguson,84,1979-08-11,,,,
11860,11860,50208,Ghost Dancer,Addrisi Brothers,85,1979-08-11,,,,
11861,11861,50202,You've Lost That Lovin' Feelin',Long John Baldry & Kathi MacDonald,91,1979-08-11,,,,
11879,11879,50355,Where Will Your Heart Take You,Buckeye,84,1979-08-25,,,,
11880,11880,50313,Crank It Up (Funk Town) Pt. 1,Peter Brown,91,1979-08-25,,,,
11886,11886,50335,Remember (Walking In The Sand),Louise Goffin,72,1979-08-25,,,,
11887,11887,50333,The Topical Song,The Barron Knights,74,1979-08-25,,,,
11889,11889,50457,I've Never Been In Love,Suzi Quatro,72,1979-09-08,,,,"Oh no I can't write my name
Oh - don't you know I'm so blasted
How this revelation it is hotter
Than a matchhead
And I'm ready to go

Ready to fly away with you

And I may lose everything
But I don't give a damn if I do

Because I've never been in love
Never been in love

Never been in love

Never been in love

I've never been in love like this before

Oh - what did I miss before

Well
This good luck
It's breaking out of bounds
And I just got to tell it
Tell it
Tell it
Oh scream and shout
Well you came like a hurricane
And sent me into the clouds
Oh and I haven't seen my feet for days
'Cause I'm miles above the ground

Because I've never been in love...

Well who says I need a doctor
'Cause I'm a second-hand crazed
I've been laughing so much

Oh they want to put me away
And I'm really gonna take these chains
Of off my life 'cause this lightening I know
I would never ever strike twice"
11893,11893,50489,In Thee,Blue Oyster Cult,87,1979-09-08,,,,"[Verse 1: Buck Dharma]
Maybe I’ll see you again, baby, and maybe I won’t
Maybe you bought your ticket gone back to Detroit
Aeroplanes make strangers of us all
Give us distance, much too easily
Jim says, “Some destinies should not be delivered”

But you and I see now, baby, that still they are
Winning it makes losers of us all
’Cause the dice roll, so indifferently

[Chorus: Buck Dharma]
Well, I’ll wrap myself in cities I travel
I’ll wrap myself in dreams
I’ll wrap myself in solitude
But I wish I could wrap myself in thee

[Verse 2: Buck Dharma]
Tonight, it’s hot, without you, tomorrow'll be cold
Winter will come along driven by snow
Love, it makes strangers of us all
When we fall, oh, so thoughtlessly

[Chorus: Buck Dharma]
Well, I’ll wrap myself in cities I travel
I’ll wrap myself in dreams
I’ll wrap myself in solitude
But I wish I could wrap myself in thee
[Guitar Solo]

[Verse 3: Buck Dharma]
Once we breathed the breath of sweet surrender
Pure, pure Arab air filled our atmosphere
But pride it makes stars of us all
Until we fall, for everyone to see

[Chorus: Buck Dharma]
So, I’ll wrap myself in cities I travel
I’ll wrap myself in dreams
I’ll wrap myself in stranger’s arms
But I wish I could wrap myself in thee
I’ll wrap myself in cities I travel
I’ll wrap myself in dreams
I’ll wrap myself in solitude
But I wish I could wrap myself in thee"
11894,11894,50488,You're Only Lonely,J.D. Souther,86,1979-09-08,,,,
11895,11895,50483,Reason To Be,Kansas,81,1979-09-08,,,,"[Verse 1]
So long, someone is waiting
I got places to go, I got things to see
No more procrastinating
For this is the moment that was meant for me
And I'm moving like a wave on the ocean
Drifting to the opposite ride
Traveling with no destination
Just riding the tide

[Verse 2]
People they say that I'm foolish
They say that I'm living in a fantasy
I say, everything's easy
It's better than living in futility
So, I'm standing here in back of the curtain
Waiting for the start of the show
Acting like an actor is easy
If you can let go

[Instrumental Interlude with Harmonizing]

[Verse 3]
Someday something will find you
A magical feeling you could not foresee
A feeling so devastating
From that moment on your life's a comedy
And suddenly you're light as a feather
You're falling like a leaf from a tree
The things you thought you needed are fading
Your reason to be
Your reason to be
Your reason to be
[Outro, repeated until fade]
Reason, reason to be"
11914,11914,50583,You Stepped Into My Life,Wayne Newton,93,1979-09-22,,,,
11916,11916,50575,Do You Think I'm Disco?,Steve Dahl And Teenage Radiation,88,1979-09-22,,,,
11917,11917,50573,Rainbow Connection,Kermit (Jim Henson),78,1979-09-22,,,,
11928,11928,50601,Another Night,Wilson Bros.,95,1979-10-06,,,,
11941,11941,50706,I Need A Lover,John Cougar,61,1979-10-20,,,,
11943,11943,50735,She's Got A Whole Number,Keith Herman,90,1979-10-20,,,,
11950,11950,50810,Wait For Me,Daryl Hall John Oates,77,1979-11-03,,,,"[Verse 1: Daryl Hall]
Midnight hour almost over
Time is running out for the magic pair
I know you gave the best that you have
But one more chance
Couldn't be all that hard to bear

[Chorus: Daryl Hall and John Oates]
Wait for me, please
Wait for me, oh
I guess that's more than I should ask
But won't you wait for me (Wait for me)
Please, wait for me (Wait for me)
Although I know the light is fading fast

[Verse 2: Daryl Hall]
You could go either way
Is it easier to stay
I wonder what you'll do
When your chance rolls around
But you gotta know how much I want to keep you
When I'm away I'm afraid it will all fall down

[Chorus: Daryl Hall and John Oates]
So wait for me, please
Wait for me, alright
AI guess that's more than I should ask
But won't you wait for me (Wait for me)
Although I know the light is fading fast
[Interlude]
La-La-La-La-La-La-La-La-La-La-La-La-La (x4)

[Verse 3: Daryl Hall]
Love is what it does and ours is doing nothing
But all the time we spent, it must be good for something
Please forgive all the disturbance I'm creating
But you got a lot to learn if you think that I'm not waiting for you

[Chorus: Daryl Hall and John Oates]
So wait for me, please
Wait for me, oh
I, I guess that's more than I should ask
So won't you wait for me (Wait for me)
Please, wait for me (For me)
Oh God, I know the light is fading fast, yes it is

[Bridge: Daryl Hall and John Oates]
La-La-La-La-La-La-La-La-La-La-La-La-Later
You got a lot to learn if you think that I'm not waiting for you

[Chorus: Daryl Hall and John Oates]
So wait for me, please
Wait for me, alright
I guess that's more than I should ask
So won't you wait for me (For me)
Please wait for me (For me)
Oh no, I know the light is fading fast, yes it is
[Outro: Daryl Hall and John Oates]
La-La-La-La-La-La-La-La-La-La-La-La-La-La
You got a lot to learn if you think that I'm not waiting for you
Wait for me, please
Wait for me, alright
I guess that's more than I should ask
So won't you wait (Wait for me)
Oh won't you wait (For me)
Oh no, I guess the light is fading fast"
11951,11951,50809,(Not Just) Knee Deep - Part 1,Funkadelic,78,1979-11-03,,,,
11952,11952,50797,I Just Can't Control Myself,Nature's Divine,93,1979-11-03,,,,
11953,11953,50842,Too Late,Shoes,86,1979-11-03,,,,"Every time I see you
I wish I could believe you
Do you ever mean a thing you say

You lied, I tried to overlook your careless way of love
And when you call I never turned you down

Too late, too late
Too late to see
Too late to let you run away

You're never serious
Although you're so impossible
I never understand the games you play

Break

Was it me that changed you, then
Or was it someone older
Are you ever lonely now and then

Every time I see you
I wish I didn't need you
Can you love or don't you even care

Too late, too late
Too late to see
Too late to let you run away
Too late, too late
Too late to see
Too late to let you run away

Oh, I should have known you'd slip away"
11954,11954,50963,Deja Vu,Dionne Warwick,70,1979-11-17,,,,"[Verse 1]
This is insane
All you did was say hello
Speak my name
Feeling your love
Like a love I used to know
Long ago

[Pre-Chorus]
How can it be?
We're a different space in time
Come to me
Feel Like I'm home in a place I used to know
Long Ago

[Chorus]
Déjà Vu
Could you be the dream that I once knew?
Is it you?
Déjà Vu
Could you be the dream that might come true?
Shining through
I keep remembering me
I keep remembering you
Déjà Vu
[Verse 2]
This is divine
I've been waiting all my life
Filling time
Looking for you
That's worth more than you could know
Long Ago

[Pre-Chorus]
Come to me now
We don't have to dream of love
We know how
Somewhere before it's as if I loved you so
So long ago

[Chorus]
Déjà Vu
Could you be the dream that I once knew?
Is it you?
Déjà Vu
Could you be the dream that might come true?
Shining through
I keep remembering me
I keep remembering you
Déjà Vu
[Break]

[Chorus]
Déjà Vu
Could you be the dream that I once knew?
Is it you?
Déjà Vu
Could you be the dream that might come true?
Shining through
I keep remembering me
I keep remembering you
Déjà Vu

Déjà Vu
Could you be the dream that I once knew?
Is it you?
Déjà Vu
Could you be the dream that might come true?
Shining through"
11956,11956,50978,The Shape Of Things To Come,The Headboys,85,1979-11-17,,,,
11957,11957,50976,Rotation,Herb Alpert,82,1979-11-17,,,,
11958,11958,50974,Mistrusted Love,Mistress,80,1979-11-17,,,,
11966,11966,51065,Cruel Shoes,Steve Martin,96,1979-12-01,,,,
11971,11971,51087,Dig The Gold,Joyce Cobb,91,1979-12-01,,,,
11977,11977,51161,Glide,Pleasure,83,1979-12-15,,,,"[Verse 1]
Car won't start, out of gas
Check past due, reserves won't last
Caught the bus to go downtown
Bus broke down, downtown bound
Left the bus, flagged down a cab
Driver said, ""I want all your cash""

[Chorus]
Don't let life keep you behind
Glide right on by, glide right on by
Don't let life keep you behind
Glide right on by, glide right on by

Let the groove blow your mind
Glide right on by, glide right on by
Let the groove blow your mind
Glide, glide
Glide, glide

Glide
Glide
Glide
Glide
Glide
Glide
Glide
Glide
Glide
Glide
Glide
Glide
Glide

Glide
Glide
Glide
Glide
Glide
Glide"
11979,11979,51167,An American Dream,The Dirt Band,80,1979-12-15,,,,
11980,11980,51190,Memorize Your Number,Leif Garrett,90,1979-12-15,,,,
11997,11997,51210,Let Me Sleep Alone,Cugini,90,1979-12-29,,,,
11999,11999,51205,Shooting Star,Dollar,88,1979-12-29,,,,
12009,12009,51314,Trust Me,Cindy Bullens,93,1980-01-12,,,,"Who's been telling you these things
Don't you know it's not true
You believe those crazy guys
They deceive you with their lies
They'll make you believe what they want you to

Ooh, darling, look at me
I wouldn't be here if I did not care
I wouldn't hurt you if my life depended on it
Love don't work unless you learn to share it
No, it won't work at all

You got to trust me
Put me in your pocket
It's your lucky day
You'll be fine
Trust me
Plug me in your socket
It's the only way
Love will shine

Oh, I want nothing more
Than to take you in my arms
And to show you I'm true

It's clearly understood
I won't touch if you don't want me to
I know you
Believe me, darling, it's alright
Every time I see you
You know I bleed
'Cause, oh, you seem so scared
You got wounded in the war of hearts
And your love shattered everywhere
Nobody seemed to care

But you can trust me
Put me in your pocket
It's your lucky day
You'll be fine
Trust me; plug me in your socket
It's the only way love will shine"
12012,12012,51304,Make Believe It's Your First Time,Bobby Vinton,78,1980-01-12,,,,
12013,12013,51300,Takin' It Back,Breathless,96,1980-01-12,,,,
12024,12024,51410,I Wish I Was Eighteen Again,George Burns,81,1980-01-26,,,,
12028,12028,51394,I Don't Want To Be Lonely,Dana Valery,91,1980-01-26,,,,
12035,12035,51544,Peanut Butter,Twennynine Featuring Lenny White,86,1980-02-09,,,,
12046,12046,51612,Desire,Rockets,80,1980-02-23,,,,
12047,12047,51605,Small Paradise,John Cougar,87,1980-02-23,,,,
12050,12050,51599,Somewhere In America,Survivor,95,1980-02-23,,,,"Somewhere...

Hey girl. help me if you can
I'm coming to you with my heart in my hand
Give me love, I'm starved for affection
All I need is just a little direction

Wow
Somewhere in America
Somewhere cross the sea
Somewhere in America
She waits for me

I need a teacher who can use a pet
Give me a lesson in etiquette
If there is anyone who'd like to try
Maybe she'd like to come and teach me tonight

Wow
Somewhere in America
Somewhere cross the sea
Somewhere in America
She waits for me

Same old story, same old song and dance
What good is the glory, if you can't find romance
I know she is waiting
Ooh, somewhere in the heartland
And if she's out there tonight
I wish she would raise her hand
Hey girl. help me if you can
I'm coming to you with my heart in my hand
Give me love, I'm starved for affection
All I need is just a little direction

Wow
Somewhere in America
Somewhere cross the sea
Somewhere in America
She waits for me

Somewhere in America...."
12052,12052,51594,Loving You With My Eyes,Starland Vocal Band,89,1980-02-23,,,,
12055,12055,51744,Don't Cry For Me Argentina,Festival,90,1980-03-08,,,,
12063,12063,51854,High On Your Love,Debbie Jacobs,80,1980-03-22,,,,"Now from the morning to the afternoon
I keep myself ready and in tune
Check my stick, I'm workin' great
I'm bein' programmed to please my mate

I get high on your love
I get high
Baby, I'm in love
I get high on your love
I get high on your love

Now a whistle turns me on
And if you notice, bang a gong
Now I work on solar power
And my batteries can last for hours

I get high on your love
I get high on your love
Baby, I'm in love
I get high on your love
I get high on your love

Now a whistle turns me on
And if you notice, bang a gong
Now I work on solar power
And my batteries can last for hours
I gеt high on your love
I get high
Baby, I'm in love
I gеt high on your love
I get high on your love

I get high on your love
I get high
Baby, I'm in love
I get high on your love
I get high on your love"
12064,12064,51867,Love's Only Love,Engelbert,83,1980-03-22,,,,
12066,12066,51843,"Bounce, Rock, Skate, Roll Pt. 1",Vaughan Mason And Crew,92,1980-03-22,,,,
12070,12070,51963,We Were Meant To Be Lovers,Photoglo,66,1980-04-19,,,,
12072,12072,51956,When The Feeling Comes Around,Jennifer Warnes,63,1980-04-19,,,,"We were walking in the sand
I could feel your heart pound
A man and a woman
Walking in the sundown

Maybe now I'll understand
How you feel the way you do
We all have the same emotion, baby
I can feel it too

It's like the rocking of the ocean
The rolling of the sea
When the feeling comes around
When the feeling comes around

I have looked for love before
I was looking all around you
I'm not looking anymore
Now that I've found you
I've found you

When there's something deep inside
That tells me this is real
We're not just going through the motions this time
I know it's love we feel
Just like the rocking of the ocean
The rolling of the sea
When the feeling comes around
When the feeling comes around

It's like the rocking of the ocean
Like the rolling of the sea
When the feeling comes around
When the feeling comes around

It's like the rocking of the ocean
The rolling of the sea
When the feeling comes around
When the feeling comes around

La, la, la, da, la, la, la
La, la, la, da, la

Like the rocking of the ocean
The rolling of the sea
When the feeling comes around
When the feeling comes around

It's like the rocking of the ocean
The rolling of the sea
When the feeling comes around
When the feeling comes around"
12073,12073,51970,Rock Lobster,The B-52s,87,1980-04-19,,,,"[Verse 1]
Sca-do-ba-da, eww
Sca-do-ba-da, eww
(Sca-do-ba-da) We were at a party (Eww)
(Sca-do-ba-da) His earlobe fell in the deep (Eww)

(Sca-do-ba-da) Someone reached in and grabbed it (Eww)
(Sca-do-ba-da) Was a rock lobster (Eww)


[Chorus]
(Ah-ah-ah-ah) Rock lobster
(Ah-ah-ah-ah) Rock lobster


[Verse 2]
Eww
Eww
We were at the beach (Eww)
Everybody had matching towels (Eww)
Somebody went under a dock (Eww)
And there they saw a rock (Eww)

It wasn't a rock (Eww)
Was a rock lobster (Eww)


[Chorus]
(Ah-ah-ah-ah) Rock lobster
(Ah-ah-ah-ah) Rock lobster
[Verse 3]
Rock lobster, rock lobster
Motion in the ocean (Hoorah)
His air hose broke (Hoorah)
Lots of trouble (Hoorah)
Lots of bubble (Hoorah)

He was in a jam (Hoorah)
He's in a giant clam (Hoorah)

[Bridge]
Rock, rock, rock lobster
(Ah-ah-ah-ah) Down, down

Ah-ah-ah-ah-ah-ah-ah-ah-ah

[Verse 4]
Sca-do-ba-da, eww
Sca-do-ba-da, eww
(Sca-do-ba-da) Underneath the waves (Eww)
(Sca-do-ba-da) Mermaids waving (Eww)
(Sca-do-ba-da) Waving to mermen (Eww)
(Sca-do-ba-da) Waving sea fans (Eww)

(Sca-do-ba-da) Seahorses sailing (Eww)

(Sca-do-ba-da) Dolphins wailing (Eww)


[Chorus]
(Ah-ah-ah-ah) Rock lobster
(Ah-ah-ah-ah) Rock lobster
[Verse 5]
Rock lobster, rock lobster
Hoorah, hoorah
Red snappers snapping (Hoorah)

Clamshells clapping (Hoorah)
Mussels flexing (Hoorah)

Flippers flipping (Hoorah)

Rock, rock

[Bridge]
Rock, rock, rock lobster
(Ah-ah-ah-ah) Down, down…

Ah-ah-ah-ah-ah-ah-ah-ah-ah
Lobster, rock
Lobster, rock

Let's rock

[Verse 6]
Boys in bikinis
Girls in surfboards

Everybody's rocking
Everybody's fruging

Twisting around the fire, having fun

Baking potatoes, baking in the sun

Put on your nose guard

Put on the lifeguard

Pass the tanning butter

Here comes a stingray (Ooh-wah, ooh-wah)
There goes a manta ray (Ah, ah, ah)
In walked a jellyfish

There goes a dogfish

Chased by a catfish
In flew a sea robin
(La)
Watch out for that piranha
There goes a narwhal
Here comes a bikini whale
(Ah)
[Outro]
Rock lobster (Lobster, rock lobster)
Rock lobster (Lobster, ah-ah-ah-ah)
Rock lobster (Lobster, rock lobster)
Rock lobster (Lobster, ah-ah-ah-ah-ah)
Ah-ah-ah-ah-ah, ah-ah-ah-ah-ah"
12075,12075,51973,You've Got What I Need,Shooting Star,78,1980-04-19,,,,
12079,12079,52070,You're My Blessing,Lou Rawls,78,1980-05-03,,,,
12080,12080,52086,What's Your Hurry Darlin',Ironhorse,96,1980-05-03,,,,
12081,12081,52079,Just For The Moment,Ray Kennedy,89,1980-05-03,,,,
12086,12086,52163,King Of The Hill,Rick Pinette & Oak,78,1980-05-17,,,,
12087,12087,52154,Happy Together (A Fantasy),Captain & Tennille,75,1980-05-17,,,,"Imagine me and you, I do
I think about you day and night
It's only right

To think about the one you love
And hold her tight
So happy together

If I should call you up
Invest a dime
And you say you belong to me
You'd ease my mind

Imagine how the world
Could be so very fine
So happy together

I can't see me
Loving nobody but you
For all my life
When you're near me
Baby, the skies'll be blue
For all my life

Me and you and you and me
No matter how they
Toss the dice, it had to be
The only one for me is you
And you for me
So happy together

If I should call you up
Invest a dime
And you say you belong to me
You'd ease my mind

Imagine how the world
Could be so very fine
So happy together
Happy together
Happy together

I can't see me
Loving nobody but you
For all my life
When you're near me
Baby, the skies'll be blue
For all my life

I can't see me
Loving nobody but you
For all my life
When you're near me
Baby, the skies'll be blue
For all my life
I can't see me
Loving nobody but you
For all my life
When you're near me
Baby, the skies'll be blue
For all my life

All my life!"
12089,12089,52170,Is This Love,Pat Travers Band,84,1980-05-17,,,,
12097,12097,52255,Shotgun Rider,Joe Sun,87,1980-05-31,,,,
12101,12101,52273,In America,The Charlie Daniels Band,82,1980-05-31,,,,
12102,12102,52270,Slipstream,Allan Clarke,80,1980-05-31,,,,
12106,12106,52360,JoJo,Boz Scaggs,74,1980-06-14,,,,"[Verse 1]
Look out behind you
Jojo's got his gun
He wouldn't mean to do but
Ya know he likes his fun

[Chorus]
Jojo dig those spinning lights
Way out games and dizzy heights below him
Jojo dig those Broadway nights
Flashy lines, you know him
You know him

[Verse 2]
He's got you covered
You'll know it right our front
Hey fifty dollars
He'll get you all you want

[Chorus]
Jojo dig those spinning lights
Way out games and dizzy heights below him
Jojo dig those Broadway nights
Flashy lines, you know him

[Bridge]
Ever so rarely that man in a millon's born
Gentle and soft, but who'd just as soon off you
For looking the wrong way as not
Jojo, go Jo
[Verse 3]
His baby stays high
Got to keep her sweet
He keep her just right
Keeps her on the street

[Chorus]
Jo Jo dig those spinning lights
(Way out games and dizzy heights)
Oh below him
Jo Jo dig those Broadway nights
Oh you know him

[Break]
(Jo you are so low
Oh Oh Jo how low can you go)

[Chorus]
Jo Jo dig those spinning lights
Way out games and dizzy heights below him
(Jo Jo dig those Broadway nights)
Broadway nights
You know him

[Verse 4]
Say what do you think
Of gentlemen wearing mink
Gentle and soft
But who'd just as soon off you
For looking the wrong way as not
(Jo Jo) Jo Jo
[Verse 1]
So look out behind you
Jojo got a gun
Though he wouldn't mean to
He likes his fun

[Chorus]
Jo Jo dig those spinning lights
Way out games and dizzy heights below him
Man its way below him
Jo Jo dig those Broadway nights
Flashing lights below him
Yeah yeah
Jo Jo
How low can you go
Jo Jo Oh Oh"
12112,12112,52369,One More Time For Love,Billy Preston & Syreeta,90,1980-06-14,,,,
12113,12113,52382,Only The Lonely (Have A Reason To Be Sad),La Flavour,93,1980-06-14,,,,
12114,12114,52377,Landlord,Gladys Knight And The Pips,87,1980-06-14,,,,"[Chorus: Gladys Knight & The Pips | Gladys Knight]
You're the landlord and the keeper of our love (Hey, hey, hey)
You're the landlord and the keeper of our love

[Verse 1: Gladys Knight]
Here was a heart torn apart
Desperately in need of fixing
I never found a heart big enough
Let alone someone in whom I could trust
All of you, opened up to let me see
In your heart there was room enough for me, woo

[Chorus: Gladys Knight & The Pips | Gladys Knight]
You're the landlord and the keeper of our love (Yeah, yeah)
You're the landlord and the keeper of our love (Well, well, well, well)

[Verse 2: Gladys Knight]
I had no place to go, left to wander aimlessly
Often I was asked to spend the night
Ooh, but my heart wouldn't let me, it didn't feel right
I don't know how or where you found the key
Ooh, but you unlocked every door inside of me, ooh

[Chorus: Gladys Knight & The Pips | Gladys Knight]
You're the landlord and the keeper of our love (Yeah, yeah)
You're the landlord and the keeper
[Bridge: Gladys Knight & The Pips]
Who'll come to see me when I just pick up the phone
Who'll rush right over when I need to cut the heat on
And when my tears are flowing down the drain
I don't need no plumber 'cause he can unstop the pain
He's found the treasure and all my security
(Everybody on the block knows)
Everybody on the block knows
That I'm proud he found the key

[Outro: Gladys Knight & The Pips | Gladys Knight]
Oh, you're the landlord, ooh, you're the keeper of our love
(Our love, you know, everybody knows it)
Oh, you're the landlord and the keeper of our love
(You've got the key, you unlocked every door in me)
You're the landlord (You're the landlord)
And the keeper (And the keeper) of our love
(Our love, our love, sweet, sweet love)
You're the landlord (You're the landlord)
And the keeper (And the keeper) of our love
You're the landlord and the keeper
You're the landlord and the keeper
You're the landlord (You're the landlord)
And the keeper (And the keeper) of our love
You're the landlord and the keeper
You're the landlord and the keeper
You're the landlord (You're the landlord)
And the keeper (And the keeper) of our love
You're the landlord and the keeper
You're the landlord and the keeper
You're the landlord (You're the landlord)
And the keeper (And the keeper) of our love
You're the landlord and the keeper
You're the landlord and the keeper"
12122,12122,52413,Who Shot J.R.?,Gary Burbank With Band McNally,79,1980-06-28,,,,
12123,12123,52408,Beyond,Herb Alpert,85,1980-06-28,,,,
12124,12124,52417,"Honey, Honey",David Hudson,90,1980-06-28,,,,
12127,12127,52437,Tulsa Time/Cocaine,Eric Clapton And His Band,64,1980-06-28,,,,
12128,12128,52436,I Get Off On It,Tony Joe White,88,1980-06-28,,,,"I met a pretty girl who really turned me on
But we didn't make it very far
It's hard to make love to a lady
When she's munching on a candy bar

And I couldn't help but say:
""Ain't no time for Milky-Way""
And she goes:
""I get off on it
I get off on it
Give just a little slack
Can't you see I'm into snacks
I get off on it""

There was a pretty thing in Los Angeles
But she was a man in women's clothes
I told him he was dressing kinda dangerous
'cause how's a fool like me gonna know

And I couldn't help but say:
""Why you wanna dress that way""
And he goes:
""I get off on it
I get off on it
Ain't no sweat off your nose
I just dig 'em ladies clothes
I get off on it""
Good old boy he met a girl and liked her
But she didn't know what he was all about
'cause when he filled his lip with tobacco
Don't you know it nearly grossed her out

And she couldn't help but say:
""Why you wanna do that way""
And he goes:
""I get off on it
I get off on it
I don't mean to make you flip
But don't be messin' with my dip
I get off on it""

There is a dude up in New York City
He wears nothing but a raincoat and he walks around
He comes up on to a lady looking pretty
And he gives her just glimpse from the waist down

And she couldn't help but say:
""Why you wanna act that way""
And he goes:
""I get off on it
I get off on it
I don't mean to bring you down
But I just gotta flash around""
There was a girl I had a lot of fun with
'Til she asked me to her house one night
And when she told me she was into bondage
Well don't you know it nearly blew my mind

And I couldn't help but say:
""Why you wanna do that way""
And she goes:
""I get off on it
I get off on it
Can't you see I'm into pain
Please let me do my thing"""
12130,12130,52430,Make A Little Magic,The Dirt Band,59,1980-06-28,,,,
12137,12137,52586,Half Moon Silver,Hotel,90,1980-07-12,,,,
12139,12139,52576,If I Were You,Toby Beau,80,1980-07-12,,,,
